#Fixed HDF5, Moving HDF5, Shift[0] (um), Shift[1] (um), Distance (nm), start key, end key, method, sig key, reference hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211015_0000_-22.5_inner_2.hdf5,0.989,-0.594,1154.01,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211014_0003_-22.5_outer_1.hdf5,1.124,-0.105,1128.62,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210907_0007_-15_inner_1.hdf5,-0.235,0.509,560.75,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211005_0005_-15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210908_0000_-15_inner_2.hdf5,-0.240,0.255,350.17,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211005_0005_-15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211005_0006_-15_inner_1.hdf5,0.716,0.172,736.18,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211005_0005_-15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211006_0000_-15_inner_2.hdf5,0.691,0.084,695.87,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211005_0005_-15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210921_0005_-7.5_inner_1.hdf5,-0.076,0.101,126.05,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210922_0000_-7.5_inner_2.hdf5,-0.150,0.336,368.29,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210922_0001_-7.5_inner_3.hdf5,-0.051,0.322,325.73,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210929_0006_-7.5_inner_1.hdf5,0.276,0.010,276.44,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210930_0000_-7.5_inner_2.hdf5,0.241,0.094,258.36,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210930_0001_-7.5_inner_3.hdf5,0.301,0.024,302.18,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210921_0004_-7.5_outer_1.hdf5,-0.099,0.119,154.76,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210902_0006_0_inner_1.hdf5,0.083,0.294,305.97,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210928_0005_0_inner_1.hdf5,0.029,-0.014,31.99,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210929_0000_0_inner_2.hdf5,0.024,0.003,24.19,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210929_0001_0_inner_3.hdf5,0.061,-0.045,75.91,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210902_0003_0_outer_1.hdf5,0.045,0.370,372.73,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210915_0004_7.5_inner_1.hdf5,0.238,0.578,624.43,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210916_0000_7.5_inner_2.hdf5,0.205,0.578,613.28,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210930_0008_7.5_inner_1.hdf5,-0.251,-0.048,254.96,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211001_0000_7.5_inner_2.hdf5,-0.335,-0.034,336.17,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211001_0001_7.5_inner_3.hdf5,-0.290,-0.031,292.10,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210915_0003_7.5_outer_1.hdf5,0.259,0.297,394.40,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210909_0002_15_inner_1.hdf5,0.482,0.235,535.68,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210909_0003_15_inner_2.hdf5,0.398,0.235,462.07,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210909_0004_15_inner_3.hdf5,0.391,0.505,638.17,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210910_0000_15_inner_4.hdf5,0.467,0.485,673.47,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
